Keyword,ESO_keyword,value,Extension,from,comment,skip,Description
CDEC,HIERARCH ESO TEL TARG DELTA,,PRIMARY,S2D_BLAZE_A,,True,[sexa] Catalog declination for obj in trace
CEQNX,HIERARCH ESO TEL TARG EQUINOX,,PRIMARY,S2D_BLAZE_A,,True,[yr] Catalog equinox for obj in trace
CEPCH,HIERARCH ESO TEL TARG EPOCH,,PRIMARY,S2D_BLAZE_A,,True,[yr] Catalog epoch for obj in trace
CPLX,PLX_VALUE,,PRIMARY,Simbad,,True,[mas] Catalog parallax for obj in trace
CPMR,HIERARCH ESO TEL TARG PMA,,PRIMARY,S2D_BLAZE_A,,True,["/yr] Catalog proper motion RA (obj) in trace
CPMD,HIERARCH ESO TEL TARG PMD,,PRIMARY,S2D_BLAZE_A,,True,["/yr] Catalog proper motion DEC (obj) in trace
CRV,HIERARCH ESO TEL TARG RADVEL,,PRIMARY,S2D_BLAZE_A,,True,[km/s] Catalog Systemic RV for obj in trace
CZ,CZ,,PRIMARY,CRV,,True,Catalog Z for obj in trace
CCLR,CCLR,,PRIMARY,S2D_BLAZE_A,,True,[mag] Catalog Gaia B-R for obj in trace
OBSERVAT,ORIGIN,,PRIMARY,S2D_BLAZE_A,,False,Observatory name
TELESCOP,TELESCOP,,PRIMARY,S2D_BLAZE_A,,False,Telescope name
OBSLON,HIERARCH ESO TEL GEOLON,,PRIMARY,S2D_BLAZE_A,,False,[deg] Observatory longitude
OBSLAT,HIERARCH ESO TEL GEOLAT,,PRIMARY,S2D_BLAZE_A,,False,[deg] Observatory latitude
OBSALT,HIERARCH ESO TEL GEOELEV,,PRIMARY,S2D_BLAZE_A,,False,[m] Observatory altitude
SEEING,HIERARCH ESO INS2 AOS ATM SEEING,,PRIMARY,S2D_BLAZE_A,,False,[arcsec] Seeing at beginning of exposure
AIRMASS,HIERARCH ESO TEL AIRM START,,PRIMARY,S2D_BLAZE_A,,False,[secZ] Airmass at center field (beginning)
TTIME,DATE-OBS,,PRIMARY,S2D_BLAZE_A,,False,[UTC] TCS-data date/time
TEQNX,HIERARCH ESO TEL TARG EQUINOX,,PRIMARY,S2D_BLAZE_A,,False,[yr] TCS equinox
TEPCH,HIERARCH ESO TEL TARG EPOCH,,PRIMARY,S2D_BLAZE_A,,False,[yr] TCS epoch
TLST,LST,,PRIMARY,S2D_BLAZE_A,,True,[sexa] TCS local sidereal time
TRA,RA,,PRIMARY,S2D_BLAZE_A,,True,[sexa] TCS RA
TDEC,DEC,,PRIMARY,S2D_BLAZE_A,,True,[sexa] TCS DEC
